k,silhouette,inertia
2,0.18667744513419973,36906.38659155341
3,0.09915685281543385,34276.17624720606
4,0.08034066473240487,32723.227965365448
5,0.07797984166140048,31483.188338808268
6,0.07141450500576274,30349.824886830094
7,0.07132839079427683,29497.673836557828
8,0.06955861147192942,28718.484000619384
9,0.0626406472736285,28103.775730100635
10,0.07095716737718523,27618.305045908175
11,0.065367002446256,27094.19715346436
12,0.061296751716996944,26727.53198298675
13,0.05633606008208271,26372.10200047081
14,0.05640389701799825,26055.115708794656
15,0.05825641574264875,25734.664485286165
16,0.05992823530534906,25427.824822974526
17,0.05644910304692641,25148.98653048004
18,0.05529172460198707,24885.0592904429
19,0.06407416141077384,24635.86852817081
20,0.057833492695100235,24380.766398694257
