k,silhouette,inertia
2,0.34968636499325967,4574.469688230913
3,0.3652551470286046,3782.8691505470697
4,0.36762290185856106,3458.879627344111
5,0.17630332975945417,3298.2396678341224
6,0.18131797861588442,3110.9436075586536
7,0.18466142556632156,2981.1331723981634
8,0.223793370906302,2788.0130342514076
9,0.22621524640988921,2668.979355476619
10,0.25534477908936,2592.772359544838
11,0.29967414540038656,2505.9126009579454
12,0.3229890775355474,2436.8079681590734
13,0.31817367464181373,2361.1811831725136
14,0.29559036903369046,2322.3247698591545
15,0.3285060579545533,2219.538669364451
16,0.3478453070949761,2157.218285382996
17,0.3230816758189712,2117.9416090312816
18,0.35061772798291096,2064.1424147049
19,0.36340348291783015,2054.3596596954485
20,0.3493409518371221,1991.8564427957292
