k,silhouette,inertia
2,0.1655786681851612,43138.89528165622
3,0.08652561296483305,40513.397903167344
4,0.07204805036265834,38885.711386152645
5,0.06916500374613421,37585.8163507618
6,0.06238198593446086,36515.71223327106
7,0.06255792518878779,35603.54733493982
8,0.05961400682502395,34829.61436450092
9,0.056024168123889696,34219.57282077372
10,0.05932236280252771,33509.14936044205
11,0.05603962161200211,33028.43357437005
12,0.05114286583330491,32527.420394689572
13,0.05863972659177729,32153.734742740136
14,0.06319318855074928,31618.76395254212
15,0.06395398862614063,31297.026824310633
16,0.04957124596950698,30975.712356394117
17,0.04954054323641395,30859.371450396917
18,0.05689979057496015,30547.16485502132
19,0.05177563903066043,30078.361190719843
20,0.045998254097430344,29933.933017016807
