k,silhouette,inertia
2,0.12307860532649946,1840.6230402736471
3,0.09376693590411546,1727.0640899482228
4,0.09621390478711393,1596.3799191159553
5,0.08169279336098481,1531.7108840470426
6,0.0591401834948715,1500.2129477079461
7,0.06805888751507429,1434.1679280453686
8,0.07003238409349534,1385.2343235560431
9,0.06422386918303317,1343.6427490965661
10,0.06219989459975421,1312.64974704502
11,0.06790685103022302,1292.6373677464508
12,0.055852609306760045,1271.3267007148108
13,0.05811500243875016,1248.1371043039383
14,0.043833612327344895,1233.0627931399176
15,0.046430710103818995,1218.1883915520152
16,0.05425384964816488,1198.4472429620914
17,0.058025589216999386,1186.098006810277
18,0.05715495820500419,1170.1188869129307
19,0.05037030035158674,1147.1229483365694
20,0.05677553424168202,1138.9182681905954
