component,rank,feature,loading
PC1,1,mfcc_08,0.2813
PC1,2,mfcc_09,0.2755
PC1,3,mfcc_10,0.2699
PC1,4,mfcc_07,0.2649
PC1,5,mfcc_11,0.2609
PC1,6,mfcc_12,0.2577
PC1,7,mfcc_06,0.2557
PC1,8,mfcc_13,0.2365
PC2,1,spectral_centroid_mean,0.4876
PC2,2,mfcc_02,-0.4321
PC2,3,mfcc_01,0.3084
PC2,4,mfcc_05,-0.2375
PC2,5,chroma_04,0.2138
PC2,6,mfcc_04,-0.1945
PC2,7,mfcc_07,-0.1785
PC2,8,chroma_03,0.176
PC3,1,chroma_01,0.426
PC3,2,chroma_06,-0.41
PC3,3,chroma_07,-0.372
PC3,4,chroma_12,0.3635
PC3,5,chroma_05,-0.3278
PC3,6,chroma_02,0.3136
PC3,7,chroma_08,-0.2436
PC3,8,chroma_11,0.2086
