component,rank,feature,loading
PC1,1,audio_mfcc_08,0.2808
PC1,2,audio_mfcc_09,0.275
PC1,3,audio_mfcc_10,0.2694
PC1,4,audio_mfcc_07,0.2643
PC1,5,audio_mfcc_11,0.2605
PC1,6,audio_mfcc_12,0.2574
PC1,7,audio_mfcc_06,0.255
PC1,8,audio_mfcc_13,0.2363
PC2,1,audio_spectral_centroid_mean,0.4829
PC2,2,audio_mfcc_02,-0.4271
PC2,3,audio_mfcc_01,0.311
PC2,4,audio_mfcc_05,-0.2367
PC2,5,audio_chroma_04,0.2079
PC2,6,audio_mfcc_04,-0.1929
PC2,7,audio_mfcc_07,-0.1779
PC2,8,audio_chroma_03,0.1746
PC3,1,audio_chroma_01,0.4041
PC3,2,audio_chroma_06,-0.4034
PC3,3,audio_chroma_07,-0.3743
PC3,4,audio_chroma_12,0.3418
PC3,5,audio_chroma_05,-0.3274
PC3,6,audio_chroma_02,0.2957
PC3,7,audio_chroma_08,-0.2547
PC3,8,audio_chroma_11,0.1886
